p_request,window,r_response,failure_probability
0.21999999999999995,10,0.05,2.795781307383711e-07
0.22499999999999995,1,0.05,0.23407022106631986
0.22499999999999995,2,0.05,0.053147862602932944
0.22499999999999995,3,0.05,0.011982947722952268
0.22499999999999995,4,0.05,0.0026974157536028068
0.22499999999999995,5,0.05,0.0006069819892683565
0.22499999999999995,6,0.05,0.0001365741598850211
0.22499999999999995,7,0.05,3.072934860148479e-05
0.22499999999999995,8,0.05,6.914111668397302e-06
0.22499999999999995,9,0.05,1.555675542188826e-06
0.22499999999999995,10,0.05,3.5002701809296404e-07
0.22999999999999995,1,0.05,0.23920956838273527
0.22999999999999995,2,0.05,0.05552960441717532
0.22999999999999995,3,0.05,0.012799172235337499
0.22999999999999995,4,0.05,0.002945260944858908
0.22999999999999995,5,0.05,0.0006774868392753912
0.22999999999999995,6,0.05,0.00015582603748178994
0.22999999999999995,7,0.05,3.584020363703292e-05
0.22999999999999995,8,0.05,8.243258210959606e-06
0.22999999999999995,9,0.05,1.8959499902297138e-06
0.22999999999999995,10,0.05,4.3606852958325294e-07
0.23499999999999996,1,0.05,0.24434624382635817
0.23499999999999996,2,0.05,0.057963104607791284
0.23499999999999996,3,0.05,0.013651596383609629
0.23499999999999996,4,0.05,0.0032098012234853925
0.23499999999999996,5,0.05,0.0007543959083988658
0.23499999999999996,6,0.05,0.0001772881542375082
0.23499999999999996,7,0.05,4.1662998773937255e-05
0.23499999999999996,8,0.05,9.790820314621509e-06
0.23499999999999996,9,0.05,2.300843635599412e-06
0.23499999999999996,10,0.05,5.406983019512426e-07
0.23999999999999996,1,0.05,0.24948024948024944
0.23999999999999996,2,0.05,0.06044832507765929
0.23999999999999996,3,0.05,0.014540999222460453
0.23999999999999996,4,0.05,0.0034917692183030658
0.23999999999999996,5,0.05,0.0008381358223136098
0.23999999999999996,6,0.05,0.00020115900410082443
0.23999999999999996,7,0.05,4.82785300273166e-05
0.23999999999999996,8,0.05,1.158686846364111e-05
0.23999999999999996,9,0.05,2.780849655684755e-06
0.23999999999999996,10,0.05,6.674039878904467e-07
0.24499999999999997,1,0.05,0.25461158742530526
0.24499999999999997,2,0.05,0.06298522693438229
0.24499999999999997,3,0.05,0.015468159122022714
0.24499999999999997,4,0.05,0.0037919131702356663
0.24499999999999997,5,0.05,0.0009291517298739706
0.24499999999999997,6,0.05,0.00022765015875721305
0.24499999999999997,7,0.05,5.577476821235733e-05
0.24499999999999997,8,0.05,1.3664846983328706e-05
0.24499999999999997,9,0.05,3.3478892379174116e-06
0.24499999999999997,10,0.05,8.202329669531203e-07
0.24999999999999994,1,0.05,0.2597402597402597
0.24999999999999994,2,0.05,0.06557377049180325
0.24999999999999994,3,0.05,0.016433853738701716
0.24999999999999994,4,0.05,0.004110996916752309
0.24999999999999994,5,0.05,0.0010279076938890877
0.24999999999999994,6,0.05,0.00025698682942499164
0.24999999999999994,7,0.05,6.424732650812559e-05
0.24999999999999994,8,0.05,1.6061870324489907e-05
0.24999999999999994,9,0.05,4.015469999720917e-06
